time format	time	flow (L/s)	raw (NTU)	sed (NTU)	filter (NTU)
5/11/16 19:13	42501.80	12.08	1.230	0.22	0
5/11/16 20:17	42501.85	12.08	1.120	0.34	0
5/11/16 21:05	42501.88	12.08	1.160	0	0
5/11/16 22:03	42501.92	12.08	1.100	0.07	0.04
5/11/16 23:00	42501.96	12.08	1.000	0.65	0
5/11/16 23:57	42502.00	12.08	1.180	0.41	0
5/12/16 0:09	42502.01	12.08	1.110	0.57	0.01
5/12/16 1:06	42502.05	12.08	1.340	0.47	0.29
5/12/16 2:05	42502.09	12.08	1.090	0.25	0
5/12/16 3:16	42502.14	12.08	1.190	0.44	0
5/12/16 4:59	42502.21	12.08	1.120	0	0
5/12/16 6:00	42502.25	12.08	1.330	0.04	0
5/12/16 6:57	42502.29	12.08	1.170	0.08	0
5/12/16 7:59	42502.33	12.08	1.440	0.02	0
5/12/16 8:58	42502.37	12.08	0.900	0	0
5/12/16 9:59	42502.42	12.08	1.020	0.01	0
5/12/16 11:27	42502.48	12.08	0.130	0	0
5/12/16 12:18	42502.51	12.08	0.780	0.39	0
5/12/16 13:43	42502.57	12.08	0.540	0	0
5/12/16 14:11	42502.59	12.08	0.700	0	0
5/12/16 15:39	42502.65	12.08	0.870	0.13	0
5/12/16 16:14	42502.68	12.08	0.830	0.35	0
5/12/16 17:27	42502.73	12.08	0.900	0.08	0
5/12/16 18:01	42502.75	12.08	1.130	0.41	0.01
5/12/16 20:02	42502.84	12.08	1.030	0.2	0
5/12/16 20:26	42502.85	12.08	0.500	0.47	0.01
5/12/16 21:09	42502.88	12.08	0.680	0.22	0
5/12/16 21:45	42502.91	12.08	0.770	0	0
5/12/16 23:07	42502.96	12.08	1.260	0	0
5/13/16 0:07	42503.01	12.08	1.000	0	0
5/13/16 1:19	42503.06	12.08	0.970	0	0
5/13/16 2:02	42503.09	12.08	1.180	0.3	0
5/13/16 3:00	42503.13	12.08	0.870	0.14	0.01
5/13/16 4:03	42503.17	12.08	1.120	0.33	0
5/13/16 5:03	42503.21	12.08	1.240	0	0
5/13/16 6:00	42503.25	12.08	1.030	0.16	0
5/13/16 7:03	42503.29	12.08	1.980	0	0
5/13/16 8:11	42503.34	12.08	1.390	0	0
5/13/16 9:18	42503.39	12.08	1.010	0	0
5/13/16 10:06	42503.42	12.08	1.090	0	0
5/13/16 11:01	42503.46	12.08	1.000	0	0
5/13/16 11:58	42503.50	12.08	1.040	0	0
5/13/16 12:59	42503.54	12.08	1.070	0	0
5/13/16 13:56	42503.58	12.08	1.180	0	0
5/13/16 14:56	42503.62	12.08	1.080	0.07	0
5/13/16 16:58	42503.71	12.08	1.210	0.14	0
5/13/16 17:29	42503.73	12.08	1.140	0.04	0
5/13/16 17:59	42503.75	12.08	1.320	0.2	0
5/13/16 18:58	42503.79	12.08	0.850	0.33	0.03
5/13/16 19:59	42503.83	12.08	1.150	0.25	0.18
5/13/16 20:59	42503.87	12.08	1.800	0.12	0
5/13/16 22:00	42503.92	12.08	2.130	0.15	0
5/13/16 23:27	42503.98	12.08	1.020	0.01	0
5/14/16 4:04	42504.17	12.08	0.093	0	0
5/14/16 5:06	42504.21	12.08	1.020	0.23	0
5/14/16 5:25	42504.23	12.08	0.890	0	0
5/14/16 6:06	42504.25	12.08	1.190	0.44	0
5/14/16 7:04	42504.29	12.08	1.370	0	0
5/14/16 7:31	42504.31	12.08	0.930	0.11	0
5/14/16 7:33	42504.32	12.08	0.830	0.07	0
5/14/16 8:12	42504.34	12.08	1.330	0.77	0.03
5/14/16 8:28	42504.35	12.08	1.000	0.2	0
5/14/16 9:04	42504.38	12.08	1.170	0.12	0
5/14/16 9:14	42504.38	12.08	1.080	0.13	0.01
5/14/16 9:57	42504.42	12.08	1.130	0	0
5/14/16 10:03	42504.42	12.08	1.350	0.17	0
5/14/16 11:00	42504.46	12.08	1.070	0.2	0.03
5/14/16 11:05	42504.46	12.08	1.070	0.36	0
5/14/16 11:57	42504.50	12.08	1.260	0.23	0.15
5/14/16 12:06	42504.50	12.08	1.180	0.3	0
5/14/16 12:58	42504.54	12.08	1.450	0	0
5/14/16 13:07	42504.55	12.08	1.950	0.01	0
5/14/16 13:59	42504.58	12.08	1.380	0	0
5/14/16 14:02	42504.59	12.08	1.230	0	0
5/14/16 14:58	42504.62	12.08	0.740	0.07	0
5/14/16 15:03	42504.63	12.08	1.070	0	0
5/14/16 15:59	42504.67	12.08	1.600	0.03	0
5/14/16 16:03	42504.67	12.08	1.150	0.44	0
5/15/16 0:08	42505.01	12.08	0.920	0.63	0.16
5/15/16 0:59	42505.04	12.08	1.240	0.64	0
5/15/16 1:53	42505.08	12.08	0.800	0.14	0
5/15/16 4:57	42505.21	12.08	1.300	0	0
5/15/16 5:58	42505.25	12.08	1.240	0.01	0
5/15/16 6:59	42505.29	12.08	1.480	0.05	0.01
5/15/16 11:59	42505.50	12.08	1.280	0	0
5/15/16 12:58	42505.54	12.08	1.150	0.16	0
5/15/16 13:59	42505.58	12.08	1.070	0.14	0
5/15/16 15:05	42505.63	12.08	1.020	0.03	0
5/15/16 16:19	42505.68	12.08	1.200	0	0
5/15/16 17:05	42505.71	12.08	1.020	0.61	0
5/15/16 18:45	42505.78	12.08	0.940	0.27	0
5/15/16 19:15	42505.80	12.08	0.980	0	0
5/15/16 20:11	42505.84	12.08	0.990	0.11	0
5/15/16 21:10	42505.88	12.08	1.040	0	0
5/15/16 23:13	42505.97	12.08	0.940	0	0
5/16/16 0:58	42506.04	12.08	1.200	0.01	0
5/16/16 1:59	42506.08	12.08	1.140	0.22	0
5/16/16 3:02	42506.13	12.08	1.260	0.74	0
5/16/16 4:13	42506.18	12.21	1.220	0.67	0
5/16/16 5:37	42506.23	12.21	1.090	0.37	0
5/16/16 6:13	42506.26	12.21	1.000	0.22	0
5/16/16 7:04	42506.29	12.21	1.270	0.13	0
5/16/16 8:02	42506.33	12.08	1.400	0	0
5/16/16 9:06	42506.38	12.08	1.370	0	0
5/16/16 10:01	42506.42	12.08	1.120	0	0
5/16/16 11:03	42506.46	12.08	1.340	0	0
5/16/16 12:10	42506.51	12.08	1.450	0	0
5/16/16 13:13	42506.55	12.08	1.420	0	0
5/16/16 14:05	42506.59	12.08	1.450	0	0
5/16/16 14:57	42506.62	12.08	1.210	0	0
5/16/16 17:59	42506.75	12.08	1.600	0.01	0
5/16/16 18:00	42506.75	12.08	1.060	0	0
5/16/16 18:01	42506.75	12.08	1.340	0.03	0
5/16/16 18:58	42506.79	12.08	1.640	0.1	0
5/16/16 19:57	42506.83	12.08	1.160	0.21	0
5/16/16 20:59	42506.87	12.08	1.660	0.8	0
5/16/16 21:57	42506.91	12.08	1.940	0.11	0
5/16/16 22:58	42506.96	12.08	1.010	0.19	0
5/16/16 23:59	42507.00	12.08	1.170	0	0
5/17/16 0:07	42507.01	12.24	1.850	0.34	0.01
5/17/16 1:00	42507.04	12.26	2.020	0.51	0.1
5/17/16 2:02	42507.08	12.26	1.730	0.72	0.08
5/17/16 2:58	42507.12	12.25	1.840	0.45	0.22
5/17/16 4:00	42507.17	12.25	1.210	0.31	0.29
5/17/16 4:58	42507.21	12.25	1.400	0.38	0
5/17/16 5:59	42507.25	12.25	1.940	0.21	0
5/17/16 9:07	42507.38	12.21	1.170	0.3	0
5/17/16 9:09	42507.38	12.21	1.220	0.42	0
5/17/16 10:16	42507.43	12.21	2.140	1.18	0.41
5/17/16 11:15	42507.47	12.21	2.210	0.59	0.17
5/17/16 12:02	42507.50	12.21	2.200	0.45	0.11
5/17/16 13:20	42507.56	12.21	2.560	0.64	0.22
5/17/16 13:51	42507.58	12.21	2.590	2.36	0.5
5/17/16 15:11	42507.63	12.26	2.570	0.51	0.04
5/17/16 16:14	42507.68	12.26	2.550	0.98	0.58
5/17/16 17:00	42507.71	12.26	1.960	0.98	0.51
5/17/16 18:02	42507.75	12.26	1.590	0.42	0
5/17/16 19:03	42507.79	12.26	1.740	0.33	0.01
5/17/16 20:03	42507.84	12.26	2.350	1.01	0.07
5/17/16 21:13	42507.88	12.26	2.100	0	0
5/17/16 22:10	42507.92	12.26	1.800	0	0
5/17/16 23:09	42507.97	12.26	1.640	0.13	0
5/18/16 0:06	42508.00	12.25	1.020	0.38	0
5/18/16 1:05	42508.05	12.25	0.950	0.29	0
5/18/16 1:55	42508.08	12.25	0.940	0.14	0
5/18/16 8:59	42508.37	12.25	1.430	0.63	0.61
5/18/16 9:59	42508.42	12.25	1.690	0.38	0.01
5/18/16 10:57	42508.46	12.25	1.150	0.17	0
5/18/16 11:58	42508.50	12.25	1.990	0.39	0
5/18/16 12:59	42508.54	12.25	1.270	0.01	0
5/18/16 14:00	42508.58	12.25	1.450	0.39	0
5/18/16 15:13	42508.63	12.25	0.450	0.8	0.23
5/18/16 16:24	42508.68	12.25	1.060	0.56	0
5/18/16 17:06	42508.71	12.25	0.830	0.75	0
5/18/16 18:19	42508.76	12.25	0.760	0.6	0
5/18/16 18:57	42508.79	12.25	1.420	0.39	0.47
5/18/16 19:59	42508.83	12.25	1.690	0.45	0.56
5/18/16 20:27	42508.85	12.25	0.800	0.63	0
5/18/16 21:07	42508.88	12.25	0.770	0.52	0
5/18/16 22:06	42508.92	12.25	0.950	0.6	0
5/18/16 23:28	42508.98	12.25	1.130	0.45	0
5/19/16 0:59	42509.04	12.25	1.520	0.11	0
5/19/16 3:38	42509.15	12.25	1.430	0.49	0
5/19/16 4:15	42509.18	12.25	1.310	1.14	0
5/19/16 5:23	42509.22	12.39	1.270	1.11	0
5/19/16 6:18	42509.26	12.39	1.290	0.88	0
5/19/16 7:06	42509.30	12.39	0.410	0.1	0
5/19/16 12:06	42509.50	12.25	1.960	0.15	0
5/19/16 13:04	42509.54	12.25	1.680	0	0
5/19/16 14:02	42509.59	12.25	1.470	0	0
5/19/16 14:57	42509.62	12.25	1.660	0.64	0
5/19/16 15:58	42509.67	12.25	1.740	0.14	0
5/19/16 15:59	42509.67	12.25	1.690	0.01	0
5/19/16 16:58	42509.71	12.25	1.690	0.01	0
5/19/16 17:57	42509.75	12.25	1.940	0.06	0
5/19/16 18:58	42509.79	12.25	1.460	0.03	0.01
5/19/16 19:59	42509.83	12.25	1.520	0.13	0
5/19/16 20:58	42509.87	12.25	1.070	0	0
5/19/16 21:59	42509.92	12.25	1.620	0.03	0
5/19/16 22:58	42509.96	12.25	1.250	0.02	0
5/19/16 23:59	42510.00	12.25	1.100	0.35	0
5/20/16 0:04	42510.00	12.39	1.550	0.05	0
5/20/16 1:05	42510.05	12.39	1.670	0.28	0
5/20/16 2:01	42510.08	12.39	1.650	0	0
5/20/16 3:58	42510.17	12.26	1.270	0.63	0
5/20/16 3:59	42510.17	12.26	1.350	0.7	0
5/20/16 4:55	42510.21	12.26	1.760	0	0
5/20/16 5:59	42510.25	12.26	1.860	0	0
5/20/16 6:58	42510.29	12.26	1.540	0.03	0
5/20/16 9:32	42510.40	12.39	0.470	0.38	0
5/20/16 9:36	42510.40	12.39	0.570	0.27	0
5/20/16 10:24	42510.43	12.39	1.340	0.6	0
5/20/16 12:10	42510.51	12.39	1.180	0.67	0
5/20/16 12:20	42510.51	12.39	1.350	0.83	0
5/20/16 13:26	42510.56	12.39	0.940	0.57	0
5/20/16 13:55	42510.58	12.39	0.700	0.42	0
5/20/16 15:09	42510.63	12.39	1.610	0.18	0
5/20/16 16:03	42510.67	12.39	1.590	0.09	0
5/20/16 17:13	42510.72	12.39	1.330	0	0
5/20/16 18:05	42510.75	12.39	1.760	0	0
5/20/16 18:59	42510.79	12.39	1.170	0	0
5/20/16 20:06	42510.84	12.35	1.280	0.07	0.04
5/20/16 21:15	42510.89	12.39	1.180	0.01	0
5/20/16 22:03	42510.92	12.39	1.040	0.04	0
5/20/16 23:06	42510.96	12.39	1.520	0.69	0.13
5/21/16 8:02	42511.33	12.26	1.380	0.01	0
5/22/16 0:01	42512.00	12.26	735.000	0.03	0
5/22/16 0:39	42512.03	12.25	0.840	0.3	0.01
5/22/16 0:59	42512.04	12.26	1.060	0.67	0.23
5/22/16 0:59	42512.04	12.26	1.100	0	0
5/22/16 1:41	42512.07	12.25	1.010	0.39	0
5/22/16 1:59	42512.08	12.26	1.320	0.97	0.63
5/22/16 2:00	42512.08	12.25	1.140	0.4	0.07
5/22/16 3:25	42512.14	12.26	1.840	0.64	0.24
5/22/16 3:30	42512.15	12.25	0.790	0.87	0.16
5/22/16 4:04	42512.17	12.25	0.870	0.7	0.01
5/22/16 4:05	42512.17	12.26	1.520	0.56	0
5/22/16 5:10	42512.22	12.26	1.680	0.33	0.05
5/22/16 6:10	42512.26	12.26	1.650	0	0
5/22/16 6:19	42512.26	12.25	1.020	0.58	0
5/22/16 7:00	42512.29	12.26	1.770	0	0
5/22/16 7:04	42512.29	12.25	1.280	0.4	0.03
5/22/16 8:59	42512.37	12.26	1.250	0.2	0
5/22/16 9:59	42512.42	12.26	1.150	0.12	0
5/22/16 13:59	42512.58	12.26	0.940	0	0
5/22/16 14:58	42512.62	12.26	1.730	0	0
5/22/16 15:10	42512.63	12.25	1.160	0.46	0.08
5/22/16 15:59	42512.67	12.26	1.660	0.09	0
5/22/16 16:07	42512.67	12.25	0.970	0.28	0
5/22/16 17:00	42512.71	12.26	1.680	0.01	0
5/22/16 17:13	42512.72	12.25	1.130	0.41	0
5/22/16 17:58	42512.75	12.26	1.090	0.27	0
5/22/16 18:54	42512.79	12.25	0.910	0.44	0.01
5/22/16 19:00	42512.79	12.26	1.160	0.15	0
5/22/16 19:03	42512.79	12.25	0.970	0.43	0
5/22/16 19:59	42512.83	12.26	1.520	0.24	0
5/22/16 20:12	42512.84	12.25	1.030	0.47	0
5/22/16 20:59	42512.87	12.26	1.050	0.41	0.3
5/22/16 21:16	42512.89	12.25	1.000	0.38	0
5/22/16 21:58	42512.92	12.26	1.100	0.92	0
5/22/16 22:22	42512.93	12.25	1.260	0.63	0.08
5/22/16 22:58	42512.96	12.26	1.210	0	0
5/22/16 22:59	42512.96	12.26	1.000	0.75	0
5/22/16 23:27	42512.98	12.25	0.940	0.64	0
5/22/16 23:58	42513.00	12.26	1.300	0.66	0
5/23/16 0:09	42513.01	12.26	1.950	0.44	0
5/23/16 1:10	42513.05	12.26	1.720	0.3	0
5/23/16 2:03	42513.09	12.26	1.820	0.02	0
5/23/16 2:58	42513.12	12.26	1.680	0.51	0.27
5/23/16 3:59	42513.17	12.26	1.480	0.46	0.16
5/23/16 4:58	42513.21	12.26	1.560	0.01	0
5/23/16 5:59	42513.25	12.26	1.380	0.17	0
5/23/16 6:58	42513.29	12.26	1.140	0.19	0
5/23/16 7:57	42513.33	12.26	1.180	0.15	0
5/23/16 8:00	42513.33	12.26	1.030	0	0
5/23/16 8:35	42513.36	12.25	1.080	0.43	0.01
5/23/16 9:13	42513.38	12.26	1.370	0	0
5/23/16 10:01	42513.42	12.26	1.390	0	0
5/23/16 10:19	42513.43	12.25	1.340	0.53	0.02
5/23/16 10:21	42513.43	12.25	1.270	0.43	0
5/23/16 11:02	42513.46	12.26	1.400	0	0
5/23/16 11:36	42513.48	12.25	1.140	0.6	0
5/23/16 12:12	42513.51	12.26	1.530	0	0
5/23/16 12:21	42513.52	12.25	1.120	0.68	0
5/23/16 13:03	42513.54	12.26	1.120	0	0
5/23/16 13:14	42513.55	12.25	1.070	0.7	0.16
5/23/16 14:02	42513.59	12.25	1.110	0.02	0
5/23/16 14:03	42513.59	12.26	1.620	0	0
5/23/16 15:07	42513.63	12.26	1.430	0.77	0.15
5/23/16 16:28	42513.69	12.26	2.030	0.81	0.47
5/23/16 17:02	42513.71	12.26	1.870	0	0
5/23/16 18:04	42513.75	12.26	1.350	0	0
5/23/16 19:18	42513.80	12.26	1.830	0	0
5/23/16 21:13	42513.88	12.26	1.100	0.43	0.33
5/23/16 22:06	42513.92	12.26	2.000	0.2	0.01
5/23/16 23:07	42513.96	12.26	2.030	0.18	0.05
5/24/16 0:07	42514.01	12.25	1.170	0.54	0
5/24/16 1:14	42514.05	12.25	1.270	0.98	0.3
5/24/16 1:54	42514.08	12.25	1.360	0.94	0.28
5/24/16 3:01	42514.13	12.26	1.910	0.31	0.19
5/24/16 4:03	42514.17	12.26	1.340	0.18	0
5/24/16 5:10	42514.22	12.26	1.720	0.06	0
5/24/16 6:17	42514.26	12.26	1.800	0	0
5/24/16 8:58	42514.37	12.26	1.460	0	0
5/24/16 9:59	42514.42	12.26	1.350	0	0
5/24/16 11:59	42514.50	12.26	1.480	0	0
5/24/16 12:01	42514.50	12.26	1.210	0	0
5/24/16 12:59	42514.54	12.26	1.190	0	0
5/24/16 13:59	42514.58	12.26	1.710	0	0
5/24/16 16:23	42514.68	12.25	0.890	0.63	0
5/24/16 16:49	42514.70	12.25	0.900	0.7	0
5/24/16 17:42	42514.74	12.25	1.240	0.68	0
5/24/16 18:08	42514.76	12.25	0.570	0.7	0
5/24/16 19:27	42514.81	12.25	1.110	0.84	0.02
5/24/16 20:02	42514.84	12.25	1.250	0.5	0
5/24/16 21:08	42514.88	12.25	1.350	0.68	0.16
5/24/16 22:01	42514.92	12.25	1.230	0.47	0
5/24/16 23:27	42514.98	12.25	1.370	0.72	0
5/25/16 0:58	42515.04	12.26	1.000	0.94	0
5/25/16 1:59	42515.08	12.26	1.320	0.52	0
5/25/16 3:19	42515.14	12.25	1.010	1.26	0.32
5/25/16 4:04	42515.17	12.25	1.460	0.89	0.01
5/25/16 5:00	42515.21	12.25	1.270	0.78	0
5/25/16 6:15	42515.26	12.25	1.020	0.7	0
5/25/16 7:07	42515.30	12.26	1.180	0	0
5/25/16 7:11	42515.30	12.25	1.460	0.27	0
5/25/16 8:08	42515.34	12.26	1.920	0	0
5/25/16 10:32	42515.44	12.26	1.550	0	0
5/25/16 11:01	42515.46	12.26	1.860	0	0
5/25/16 12:11	42515.51	12.26	1.380	0	0
5/25/16 14:01	42515.58	12.26	1.790	0	0
5/25/16 14:58	42515.62	12.26	1.050	0	0
5/25/16 16:59	42515.71	12.26	1.120	0	0
5/25/16 17:59	42515.75	12.26	1.170	0.02	0.01
5/25/16 18:52	42515.79	12.26	1.880	0.25	0
5/25/16 19:58	42515.83	12.26	1.350	0.13	0
5/25/16 20:57	42515.87	12.26	1.550	0.21	0
5/25/16 21:58	42515.92	12.26	1.650	0.02	0
5/25/16 22:56	42515.96	12.26	1.430	1.13	0
5/25/16 23:57	42516.00	12.26	1.380	1.09	0
5/26/16 0:07	42516.01	12.26	2.090	0.37	0.02
5/26/16 1:02	42516.04	12.26	1.460	0.23	0
5/26/16 2:01	42516.08	12.26	1.090	0.01	0
5/26/16 2:58	42516.12	12.26	2.750	1.03	0
5/26/16 3:59	42516.17	12.26	2.010	0.95	0
5/26/16 5:57	42516.25	12.26	2.040	0.5	0.49
5/26/16 6:58	42516.29	12.26	1.680	0.61	0.36
5/26/16 7:57	42516.33	12.26	1.670	0.71	0.43
5/26/16 8:04	42516.34	12.25	1.420	0.65	0.25
5/26/16 9:43	42516.41	12.25	1.390	0.63	0
5/26/16 10:41	42516.45	12.25	1.470	0.57	0
5/26/16 11:13	42516.47	12.25	1.040	0.38	0
5/26/16 12:38	42516.53	12.25	1.540	0.58	0
5/26/16 12:55	42516.54	12.25	0.750	0.01	0
5/26/16 13:54	42516.58	12.25	0.980	0.63	0
5/26/16 15:05	42516.63	12.26	1.820	0.01	0
5/26/16 16:06	42516.67	12.26	1.800	0.02	0
5/26/16 16:58	42516.71	12.26	1.860	0.62	0.32
5/26/16 17:07	42516.71	12.26	1.750	0	0
5/26/16 18:00	42516.75	12.26	1.940	0.21	0
5/26/16 19:15	42516.80	12.26	1.760	0.1	0
5/26/16 20:32	42516.86	12.26	1.330	0.17	0
5/26/16 21:01	42516.88	12.26	1.080	0.01	0
5/26/16 22:01	42516.92	12.26	1.450	0.11	0
5/26/16 23:03	42516.96	12.26	1.680	0.09	0
5/27/16 0:19	42517.01	12.25	1.440	0.84	0.14
5/27/16 1:05	42517.05	12.25	1.320	0.67	0.02
5/27/16 2:10	42517.09	12.25	1.500	0.75	0
5/27/16 3:02	42517.13	12.26	1.670	0.11	0
5/27/16 4:08	42517.17	12.26	1.660	0.15	0
5/27/16 5:09	42517.21	12.26	1.930	0	0
5/27/16 6:00	42517.25	12.26	1.070	0	0
5/27/16 7:05	42517.30	12.26	1.920	0	0
5/27/16 8:57	42517.37	12.26	1.410	0.5	0.04
5/27/16 9:58	42517.42	12.26	1.510	0.46	0.09
5/27/16 10:57	42517.46	12.26	1.690	0.7	0.03
5/27/16 11:58	42517.50	12.26	1.360	0.2	0
5/27/16 12:59	42517.54	12.26	1.140	0.18	0
5/27/16 13:59	42517.58	12.26	1.520	0	0
5/27/16 15:39	42517.65	12.25	1.370	0.02	0
5/27/16 16:32	42517.69	12.25	1.400	0.11	0
5/27/16 17:00	42517.71	12.25	1.270	0.46	0
5/27/16 18:22	42517.77	12.25	1.510	0	0
5/27/16 22:23	42517.93	12.25	1.240	0.14	0.2
5/27/16 23:21	42517.97	12.25	1.180	0.2	0
5/28/16 0:59	42518.04	12.26	1.200	0.42	0
5/28/16 1:59	42518.08	12.26	1.420	0.62	0
5/28/16 3:10	42518.13	12.25	1.470	0.5	0.09
5/28/16 4:12	42518.18	12.25	1.400	0.47	0.01
5/28/16 5:36	42518.23	12.25	1.260	0.39	0.04
5/28/16 6:19	42518.26	12.25	1.330	1.03	0.38
5/28/16 6:57	42518.29	12.25	1.000	0.99	0
5/28/16 8:03	42518.34	12.26	1.580	0	0
5/28/16 9:27	42518.39	12.26	1.020	0	0
5/28/16 10:06	42518.42	12.26	1.300	0	0
5/28/16 11:07	42518.46	12.26	1.560	0	0
5/28/16 12:03	42518.50	12.26	1.970	0	0
5/28/16 13:29	42518.56	12.26	1.410	0.19	0
5/28/16 14:01	42518.58	12.26	1.200	0	0
5/28/16 14:58	42518.62	12.26	1.190	0	0
5/28/16 15:59	42518.67	12.26	1.140	0	0
5/28/16 16:57	42518.71	12.26	1.170	0.85	0
5/28/16 17:58	42518.75	12.26	1.590	0.34	0
5/28/16 18:59	42518.79	12.26	1.640	0.38	0
5/28/16 19:58	42518.83	12.26	1.190	0.25	0.27
5/28/16 20:59	42518.87	12.26	1.250	0.41	0.03
5/28/16 21:58	42518.92	12.26	1.430	0	0
5/28/16 22:59	42518.96	12.26	1.510	0	0
5/28/16 23:59	42519.00	12.26	1.230	0.39	0
5/29/16 2:59	42519.12	12.44	240.200	0.99	0.93
5/29/16 3:57	42519.16	12.44	234.020	0.8	0.21
5/29/16 4:58	42519.21	12.44	247.030	0.67	0.33
5/29/16 5:59	42519.25	12.44	250.150	0.41	0.4
5/29/16 6:58	42519.29	12.44	255.070	0.28	0.15
5/29/16 7:58	42519.33	12.44	140.020	0.83	0.21
5/29/16 8:27	42519.35	12.25	1.300	0.97	0
5/29/16 8:59	42519.37	12.44	114.800	1.23	0.59
5/29/16 9:10	42519.38	12.25	1.400	0.93	0
5/29/16 9:57	42519.41	12.44	99.870	0.39	0.07
5/29/16 10:04	42519.42	12.25	1.390	0.87	0
5/29/16 10:58	42519.46	12.44	79.360	0.67	0.1
5/29/16 11:24	42519.48	12.25	1.470	0.43	0
5/29/16 11:59	42519.50	12.44	69.770	1.56	0.27
5/29/16 12:09	42519.51	12.25	1.380	0.63	0.02
5/29/16 12:59	42519.54	12.44	50.940	1.51	0.28
5/29/16 13:14	42519.55	12.25	1.250	0.43	0
5/29/16 13:55	42519.58	12.25	1.240	0.37	0
5/29/16 13:59	42519.58	12.44	37.990	2	0.23
5/29/16 15:06	42519.63	12.26	1.050	0	0
5/29/16 16:06	42519.67	12.26	1.800	0.42	0
5/29/16 17:07	42519.71	12.26	6.860	1.01	0.07
5/29/16 18:09	42519.76	12.26	33.040	0.28	0.03
5/29/16 19:10	42519.80	12.26	76.000	0.31	0
5/29/16 20:11	42519.84	12.44	101.700	0.7	0.08
5/29/16 21:03	42519.88	12.44	106.300	1.09	0.019
5/29/16 22:14	42519.93	12.44	106.300	1.09	0.19
5/30/16 0:04	42520.00	12.43	7.050	0.01	0
5/30/16 1:04	42520.04	12.43	7.920	0.07	0
5/30/16 2:02	42520.08	12.43	8.620	0.3	0
5/30/16 3:10	42520.13	12.44	9.240	0.75	0
5/30/16 4:06	42520.17	12.44	9.870	0.01	0
5/30/16 5:08	42520.21	12.44	9.300	0	0
5/30/16 6:08	42520.26	12.62	8.740	0.31	0
5/30/16 7:06	42520.30	12.62	9.170	0.49	0
5/30/16 15:27	42520.64	12.43	33.210	5.94	1.25
5/30/16 16:07	42520.67	12.43	23.350	0.98	0
5/30/16 17:07	42520.71	12.43	22.540	0.86	0
5/30/16 18:25	42520.77	12.43	14.960	0.16	0
5/30/16 19:33	42520.81	12.43	14.110	0.13	0
5/30/16 20:03	42520.84	12.43	13.450	0	0
5/30/16 21:13	42520.88	12.43	9.720	0.63	0
5/30/16 22:12	42520.93	12.43	9.110	0.5	0
5/30/16 23:16	42520.97	12.43	7.340	0.67	0.06
5/31/16 0:59	42521.04	12.44	84.890	0.5	0
5/31/16 1:59	42521.08	12.44	76.500	0.45	0
5/31/16 3:12	42521.13	12.43	67.760	2.16	0.02
5/31/16 4:19	42521.18	12.43	60.510	2.08	0.18
5/31/16 5:01	42521.21	12.43	57.500	1.11	0.09
5/31/16 6:07	42521.26	12.43	51.870	1.2	0.29
5/31/16 7:28	42521.31	12.43	49.090	1.54	0
5/31/16 8:05	42521.34	12.62	8.330	0.43	0
5/31/16 9:12	42521.38	12.96	8.500	0.41	0
5/31/16 10:09	42521.42	13.15	7.250	0.06	0
5/31/16 12:01	42521.50	14.04	1029.000	0.74	0
5/31/16 20:57	42521.87	12.44	128.000	1.08	0.27
5/31/16 21:59	42521.92	12.44	130.000	1.5	0.33
5/31/16 22:58	42521.96	12.44	120.000	1	0.21
5/31/16 23:59	42522.00	12.44	89.170	1.15	0
6/1/16 0:00	42522.00	13.32	21.940	0.60	0.00
6/1/16 0:00	42522.00	13.32	15.680	0.71	0.00
6/2/16 0:00	42523.00	13.68	12.520	0.00	0.00
6/2/16 0:00	42523.00	13.68	34.890	0.15	0.00
6/2/16 0:00	42523.00	12.43	84.310	0.22	0.00
6/2/16 0:00	42523.00	12.43	57.150	2.85	0.00
6/3/16 0:00	42524.00	12.43	37.070	0.27	0.00
6/3/16 0:00	42524.00	12.24	26.280	0.00	0.00
6/3/16 0:00	42524.00	13.15	19.180	0.13	0.00
6/3/16 0:00	42524.00	13.15	14.880	0.21	0.00
6/4/16 0:00	42525.00	14.03	10.140	0.41	0.00
6/4/16 0:00	42525.00	14.03	9.410	0.14	0.00
6/4/16 0:00	42525.00	14.22	78.630	0.58	0.00
6/4/16 0:00	42525.00	13.15	11.300	0.66	0.03
6/5/16 0:00	42526.00	13.50	60.290	1.43	0.01
6/5/16 0:00	42526.00	13.50	46.070	2.36	0.00
6/5/16 0:00	42526.00	12.43	82.500	0.82	0.00
6/5/16 0:00	42526.00	13.50	271.400	5.22	0.00
6/5/16 0:00	42526.00	12.43	184.400	7.86	0.36
6/6/16 0:00	42527.00	13.32	57.000	0.25	0.00
6/6/16 0:00	42527.00	13.32	44.200	0.75	0.00
6/6/16 0:00	42527.00	13.32	36.320	0.52	0.00
6/7/16 0:00	42528.00	13.32	23.400	0.04	0.00
6/7/16 0:00	42528.00	13.32	17.540	0.00	0.00
6/7/16 0:00	42528.00	13.32	25.340	0.37	0.08
6/7/16 0:00	42528.00	13.32	30.020	1.04	0.14
6/8/16 0:00	42529.00	13.32	17.070	0.36	0.00
6/8/16 0:00	42529.00	13.32	16.680	0.83	0.01
6/8/16 0:00	42529.00	12.98	18.360	1.77	0.00
6/8/16 0:00	42529.00	13.32	16.610	0.71	0.00
